Código de país,Nombre del país,Región,Clave_Hash
ABW,Aruba,América Latina y Caribe,910
AND,Andorra,Europa y Asia Central,870
AFG,Afganistán,Sur de Asia,858
AGO,Angola,África subsahariana,893
ALB,Albania,Europa y Asia Central,856
ARE,Emiratos Árabes Unidos,Oriente Medio y Norte de África,886
ARG,Argentina,América Latina y Caribe,894
ARM,Armenia,Europa y Asia Central,918
ASM,Samoa Americana,Asia Oriental y Asia-Pacífico,921
ATG,Antigua y Barbuda,América Latina y Caribe,900
AUS,Australia,Asia Oriental y Asia-Pacífico,951
AUT,Austria,Europa y Asia Central,955
AZE,Azerbaiyán,Europa y Asia Central,910
BDI,Burundi,África subsahariana,862
BEL,Bélgica,Europa y Asia Central,877
BEN,Benín,África subsahariana,885
BFA,Burkina Faso,África subsahariana,836
BGD,Bangladés,Sur de Asia,851
BGR,Bulgaria,Europa y Asia Central,907
BHR,Baréin,Oriente Medio y Norte de África,910
BHS,Bahamas,América Latina y Caribe,914
BIH,Bosnia y Herzegovina,Europa y Asia Central,873
BLR,Bielorrusia,Europa y Asia Central,922
BLZ,Belice,América Latina y Caribe,954
BMU,Bermudas,Norteamérica,937
BOL,Bolivia,América Latina y Caribe,907
BRA,Brasil,América Latina y Caribe,872
BRB,Barbados,América Latina y Caribe,876
BRN,Brunéi,Asia Oriental y Asia-Pacífico,924
BTN,Bután,Sur de Asia,930
BWA,Botsuana,África subsahariana,887
CAF,República Centroafricana,África subsahariana,843
CAN,Canadá,Norteamérica,875
CHE,Suiza,Europa y Asia Central,860
CHI,Islas del Canal,Europa y Asia Central,876
CHL,Chile,América Latina y Caribe,888
CHN,China,Asia Oriental y Asia-Pacífico,896
CIV,Costa de Marfil,África subsahariana,931
CMR,Camerún,África subsahariana,927
COG,Congo (República),África subsahariana,889
COL,Colombia,América Latina y Caribe,909
COM,Comoras,África subsahariana,913
CPV,Cabo Verde,África subsahariana,952
CRI,Costa Rica,América Latina y Caribe,906
CUB,Cuba,América Latina y Caribe,887
CUW,Curazao,América Latina y Caribe,971
CYM,Islas Caimán,América Latina y Caribe,943
CYP,Chipre,Europa y Asia Central,955
CZE,República Checa,Europa y Asia Central,914
DEU,Alemania,Europa y Asia Central,917
DJI,Yibuti,Oriente Medio y Norte de África,884
DMA,Dominica,América Latina y Caribe,861
DNK,Dinamarca,Europa y Asia Central,904
DOM,República Dominicana,América Latina y Caribe,915
DZA,Argelia,Oriente Medio y Norte de África,900
ECU,Ecuador,América Latina y Caribe,913
EGY,Egipto,Oriente Medio y Norte de África,941
ERI,Eritrea,África subsahariana,910
ESP,España,Europa y Asia Central,941
EST,Estonia,Europa y Asia Central,957
ETH,Etiopía,África subsahariana,912
FIN,Finlandia,Europa y Asia Central,905
FJI,Fiyi,Asia Oriental y Asia-Pacífico,888
FRA,Francia,Europa y Asia Central,880
FRO,Islas Feroe,Europa y Asia Central,936
FSM,Micronesia (Estados Federados),Asia Oriental y Asia-Pacífico,931
GAB,Gabón,África subsahariana,835
GBR,Reino Unido,Europa y Asia Central,902
GEO,Georgia,Europa y Asia Central,899
GHA,Ghana,África subsahariana,852
GIN,Guinea,África subsahariana,907
GMB,Gambia,África subsahariana,871
GNB,Guinea-Bisáu,África subsahariana,874
GNQ,Guinea Ecuatorial,África subsahariana,934
GRC,Grecia,Europa y Asia Central,890
GRD,Granada,América Latina y Caribe,894
GRL,Groenlandia,Europa y Asia Central,926
GTM,Guatemala,América Latina y Caribe,936
GUM,Guam,Asia Oriental y Asia-Pacífico,939
GUY,Guyana,América Latina y Caribe,987
HKG,"Hong Kong (RAE, República Popular China)",Asia Oriental y Asia-Pacífico,887
HND,Honduras,América Latina y Caribe,884
HRV,Croacia,Europa y Asia Central,968
HTI,Haití,América Latina y Caribe,922
HUN,Hungría,Europa y Asia Central,945
IDN,Indonesia,Asia Oriental y Asia-Pacífico,896
IMN,Isla de Man,Europa y Asia Central,923
IND,India,Sur de Asia,886
IRL,Irlanda,Europa y Asia Central,930
IRN,Irán,Oriente Medio y Norte de África,938
IRQ,Irak,Oriente Medio y Norte de África,950
